op_type	base_class	hp_length	rate_mean	count_total	penalty_score	low_count
D	AT	1	0.0030	6275839.0000	0.4626	False
D	AT	2	0.0037	4127693.0000	0.3818	False
D	AT	3	0.0047	3112881.0000	0.2968	False
D	AT	4	0.0076	2570469.0000	0.1839	False
D	AT	5	0.0112	1753893.0000	0.1252	False
D	AT	6	0.0186	1046696.0000	0.0752	False
D	AT	7	0.0299	771755.0000	0.0468	False
D	AT	8	0.0434	448229.0000	0.0323	False
D	AT	9	0.0490	333812.0000	0.0286	False
D	AT	10	0.0490	254373.0000	0.0286	False
D	AT	11	0.0490	157373.0000	0.0286	False
D	AT	12	0.0490	123487.0000	0.0286	False
D	AT	13	0.0490	106614.0000	0.0286	False
D	AT	14	0.0490	83165.0000	0.0286	False
D	AT	15	0.0490	66243.0000	0.0286	False
D	AT	16	0.0490	47946.0000	0.0286	False
D	AT	17	0.0490	29576.0000	0.0286	False
D	AT	18	0.0490	18197.0000	0.0286	False
D	AT	19	0.0490	12438.0000	0.0286	False
D	AT	20	0.0490	7208.0000	0.0286	False
D	CG	1	0.0029	5710489.0000	0.7557	False
D	CG	2	0.0029	2070659.0000	0.7557	False
D	CG	3	0.0033	1073491.0000	0.6710	False
D	CG	4	0.0062	647233.0000	0.3565	False
D	CG	5	0.0134	401793.0000	0.1644	False
D	CG	6	0.0275	168458.0000	0.0800	False
D	CG	7	0.0414	40963.0000	0.0532	False
D	CG	8	0.0414	10279.0000	0.0532	False
D	CG	9	0.0414	3489.0000	0.0532	False
D	CG	10	0.0414	1411.0000	0.0532	False
D	CG	11	0.0414	422.0000	0.0532	False
D	CG	12	0.0414	162.0000	0.0532	False
D	CG	13	0.0414	35.0000	0.0532	True
I	AT	1	0.0006	1298489.0000	1.2500	False
I	AT	2	0.0019	2161197.0000	0.4075	False
I	AT	3	0.0034	2217235.0000	0.2329	False
I	AT	4	0.0042	1399710.0000	0.1887	False
I	AT	5	0.0055	860351.0000	0.1426	False
I	AT	6	0.0085	478352.0000	0.0920	False
I	AT	7	0.0107	275853.0000	0.0732	False
I	AT	8	0.0187	192625.0000	0.0420	False
I	AT	9	0.0190	121286.0000	0.0412	False
I	AT	10	0.0189	82411.0000	0.0415	False
I	AT	11	0.0223	59532.0000	0.0351	False
I	AT	12	0.0241	51738.0000	0.0325	False
I	AT	13	0.0259	49843.0000	0.0303	False
I	AT	14	0.0277	45896.0000	0.0283	False
I	AT	15	0.0297	40993.0000	0.0264	False
I	AT	16	0.0340	35917.0000	0.0231	False
I	AT	17	0.0410	29642.0000	0.0191	False
I	AT	18	0.0509	23363.0000	0.0154	False
I	AT	19	0.0652	19550.0000	0.0120	False
I	AT	20	0.0848	15901.0000	0.0092	False
I	CG	1	0.0008	1391721.0000	1.2500	False
I	CG	2	0.0013	1086498.0000	0.8004	False
I	CG	3	0.0018	585083.0000	0.5755	False
I	CG	4	0.0030	314664.0000	0.3427	False
I	CG	5	0.0034	100986.0000	0.3056	False
I	CG	6	0.0044	26857.0000	0.2342	False
I	CG	7	0.0070	6266.0000	0.1466	False
I	CG	8	0.0146	2437.0000	0.0703	False
