op_type	base_class	hp_length	rate_mean	count_total	penalty_score	low_count
D	AT	1	0.0014	3484797.0000	1.1395	False
D	AT	2	0.0020	2463730.0000	0.8313	False
D	AT	3	0.0025	1551088.0000	0.6525	False
D	AT	4	0.0038	1108359.0000	0.4276	False
D	AT	5	0.0055	724750.0000	0.2960	False
D	AT	6	0.0085	387136.0000	0.1911	False
D	AT	7	0.0096	188078.0000	0.1705	False
D	AT	8	0.0147	112458.0000	0.1107	False
D	AT	9	0.0189	82427.0000	0.0864	False
D	AT	10	0.0252	76323.0000	0.0647	False
D	AT	11	0.0312	63440.0000	0.0522	False
D	AT	12	0.0329	51346.0000	0.0495	False
D	AT	13	0.0329	47423.0000	0.0495	False
D	AT	14	0.0329	43606.0000	0.0495	False
D	AT	15	0.0329	32012.0000	0.0495	False
D	AT	16	0.0329	28561.0000	0.0495	False
D	AT	17	0.0329	14137.0000	0.0495	False
D	AT	18	0.0329	8906.0000	0.0495	False
D	AT	19	0.0329	5417.0000	0.0495	False
D	AT	20	0.0340	4501.0000	0.0479	False
D	CG	1	0.0015	3962241.0000	1.7936	False
D	CG	2	0.0015	1698873.0000	1.7936	False
D	CG	3	0.0030	1454322.0000	0.9010	False
D	CG	4	0.0066	1187299.0000	0.4079	False
D	CG	5	0.0138	779572.0000	0.1969	False
D	CG	6	0.0252	344414.0000	0.1079	False
D	CG	7	0.0318	74378.0000	0.0853	False
D	CG	8	0.0396	12821.0000	0.0685	False
D	CG	9	0.0396	21042.0000	0.0685	False
D	CG	10	0.0396	2139.0000	0.0685	False
D	CG	11	0.0396	172.0000	0.0685	False
D	CG	12	0.0396	92.0000	0.0685	False
D	CG	13	0.0396	11.0000	0.0685	True
I	AT	1	0.0007	1515444.0000	1.2500	False
I	AT	2	0.0016	1921977.0000	0.5299	False
I	AT	3	0.0023	1440821.0000	0.3558	False
I	AT	4	0.0029	830491.0000	0.2896	False
I	AT	5	0.0038	499328.0000	0.2189	False
I	AT	6	0.0077	348291.0000	0.1077	False
I	AT	7	0.0093	184275.0000	0.0892	False
I	AT	8	0.0190	145245.0000	0.0437	False
I	AT	9	0.0221	96659.0000	0.0376	False
I	AT	10	0.0257	77929.0000	0.0324	False
I	AT	11	0.0341	69263.0000	0.0244	False
I	AT	12	0.0379	56549.0000	0.0219	False
I	AT	13	0.0361	48274.0000	0.0230	False
I	AT	14	0.0388	47569.0000	0.0214	False
I	AT	15	0.0404	38181.0000	0.0206	False
I	AT	16	0.0846	62228.0000	0.0098	False
I	AT	17	0.0530	26055.0000	0.0157	False
I	AT	18	0.0735	22100.0000	0.0113	False
I	AT	19	0.0924	17249.0000	0.0090	False
I	AT	20	0.1031	14216.0000	0.0081	False
I	CG	1	0.0008	1769379.0000	1.2500	False
I	CG	2	0.0017	2266937.0000	0.5906	False
I	CG	3	0.0028	1348367.0000	0.3561	False
I	CG	4	0.0034	605931.0000	0.2941	False
I	CG	5	0.0041	231183.0000	0.2448	False
I	CG	6	0.0040	55194.0000	0.2484	False
I	CG	7	0.0114	26183.0000	0.0881	False
I	CG	8	0.0407	9936.0000	0.0246	False
I	CG	9	0.0270	10349.0000	0.0371	False
I	CG	10	0.0838	2523.0000	0.0120	False
