op_type	base_class	hp_length	rate_mean	count_total	penalty_score	low_count
D	AT	1	0.0000	5722.0000	10.0000	False
D	AT	2	0.0000	2465.0000	10.0000	False
D	AT	3	0.0000	2816.0000	10.0000	False
D	AT	4	0.0001	2099.0000	10.0000	False
D	AT	5	0.0001	1153.0000	10.0000	False
D	AT	6	0.0001	663.0000	7.8757	False
D	AT	7	0.0008	1642.0000	1.2874	False
D	AT	8	0.0010	947.0000	1.0941	False
D	AT	9	0.0023	977.0000	0.4659	False
D	AT	10	0.0026	1141.0000	0.4057	False
D	AT	11	0.0026	666.0000	0.4057	False
D	AT	12	0.0026	290.0000	0.4057	False
D	AT	13	0.0026	205.0000	0.4057	False
D	AT	14	0.0026	252.0000	0.4057	False
D	AT	15	0.0026	147.0000	0.4057	False
D	AT	16	0.0026	132.0000	0.4057	False
D	AT	17	0.0026	70.0000	0.4057	False
D	AT	18	0.0026	49.0000	0.4057	True
D	AT	19	0.0026	18.0000	0.4057	True
D	AT	20	0.0026	3.0000	0.4057	True
D	CG	1	0.0000	3851.0000	10.0000	False
D	CG	2	0.0000	1837.0000	10.0000	False
D	CG	3	0.0000	921.0000	10.0000	False
D	CG	4	0.0001	693.0000	9.6005	False
D	CG	5	0.0002	455.0000	3.3935	False
D	CG	6	0.0003	159.0000	2.5363	False
D	CG	7	0.0003	41.0000	2.5363	True
D	CG	8	0.0016	25.0000	0.4338	True
D	CG	9	0.0016	16.0000	0.4338	True
I	AT	1	0.0000	1691.0000	1.2500	False
I	AT	2	0.0001	3994.0000	0.2385	False
I	AT	3	0.0000	1791.0000	0.3549	False
I	AT	4	0.0000	674.0000	0.5844	False
I	AT	5	0.0001	890.0000	0.1984	False
I	AT	6	0.0006	3227.0000	0.0212	False
I	AT	7	0.0010	2304.0000	0.0135	False
I	AT	8	0.0029	2505.0000	0.0047	False
I	AT	9	0.0033	1666.0000	0.0041	False
I	AT	10	0.0067	2020.0000	0.0020	False
I	AT	11	0.0056	1321.0000	0.0024	False
I	AT	12	0.0071	641.0000	0.0019	False
I	AT	13	0.0128	963.0000	0.0011	False
I	AT	14	0.0089	689.0000	0.0015	False
I	AT	15	0.0094	679.0000	0.0014	False
I	AT	16	0.0100	403.0000	0.0014	False
I	AT	17	0.0128	338.0000	0.0011	False
