gene	cpm
YAL001C	21.19905231
YAL002W	27.45922261
YAL003W	2243.946186
YAL005C	1426.868118
YAL007C	150.4118854
YAL008W	38.21126281
YAL009W	33.10983359
YAL010C	17.55824192
YAL011W	11.87696576
YAL012W	458.7592312
YAL013W	34.8848456
YAL014C	51.51513378
YAL015C	32.37442719
YAL016W	177.6862896
YAL017W	75.9672846
YAL018C	4.7383959
YAL019W	68.26708587
YAL020C	31.45812899
YAL021C	62.85499944
YAL022C	39.41801365
YAL023C	151.4087268
YAL024C	20.21686097
YAL025C	116.9124048
YAL026C	59.30998307
YAL027W	31.04432202
YAL028W	11.5263237
YAL029C	79.1669332
YAL030W	78.56631138
YAL031C	19.21274473
YAL032C	35.00936168
YAL033W	87.47061762
YAL034C	39.75019684
YAL034W-A	30.69455075
YAL035W	235.5218309
YAL036C	142.2033365
YAL037C-A	2.687346775
YAL037W	34.4921424
YAL038W	6516.649249
YAL039C	136.7540944
YAL040C	79.87312137
YAL041W	43.99838839
YAL042W	176.3415203
YAL043C	45.07710546
YAL044C	361.9912447
YAL044W-A	78.5523324
YAL046C	84.66564454
YAL047C	20.0980619
YAL048C	1.404263678
YAL049C	111.3701341
YAL051W	29.82789918
YAL053W	155.1565152
YAL054C	28.38746847
YAL055W	21.85949885
YAL056W	53.16446644
YAL058W	19.90378288
YAL059W	96.02452937
YAL060W	116.1675061
YAL061W	28.3408556
YAL062W	7.217542356
YAL063C	16.30592613
YAL063C-A	6.61720956
YAL064C-A	0.30389161
YAL064W	4.075339304
YAL064W-B	0.4494565179
YAL065C	1.188694516
YAL067C	3.1892978
YAL068C	0.5779903986
YAR002C-A	193.4103569
YAR002W	61.39791502
YAR003W	19.34252907
YAR007C	73.88814004
YAR008W	26.14013927
YAR014C	69.9796496
YAR015W	91.25966511
YAR018C	26.30916654
YAR019C	18.34922706
YAR020C	15.99471877
YAR023C	6.430643228
YAR027W	124.6146744
YAR028W	38.74065955
YAR029W	16.67565019
YAR031W	14.51041076
YAR033W	26.36164358
YAR035C-A	0.5682380816
YAR035W	10.72802297
YAR042W	26.49827765
YAR050W	10.89250118
YAR064W	0.1425098878
YAR068W	0.6775179729
YAR071W	0.5762083384
