# platform=cdna	error_profile_cdna_20260518/pooled (by4742 PCR-cDNA; aligners mm2/mapPacBio/gapmm2 + uLTRA/deSALT; M-tracked)
# rate = op_count / (M+D+X) at that (base_class, hp_length); absolute, identical metric across platforms
op_type	base_class	hp_length	count	total_positions	rate
D	AT	1	140229	113984750	0.001230
I	AT	1	108261	113984750	0.000950
X	AT	1	212247	113984750	0.001862
D	AT	2	177929	96686560	0.001840
I	AT	2	209625	96686560	0.002168
X	AT	2	156567	96686560	0.001619
D	AT	3	101837	43194771	0.002358
I	AT	3	127546	43194771	0.002953
X	AT	3	70073	43194771	0.001622
D	AT	4	61847	17984349	0.003439
I	AT	4	61604	17984349	0.003425
X	AT	4	25876	17984349	0.001439
D	AT	5	33735	6382844	0.005285
I	AT	5	28807	6382844	0.004513
X	AT	5	7534	6382844	0.001180
D	AT	6	17673	2602268	0.006791
I	AT	6	17604	2602268	0.006765
X	AT	6	2490	2602268	0.000957
D	AT	7	10490	1117675	0.009386
I	AT	7	8150	1117675	0.007292
X	AT	7	986	1117675	0.000882
D	AT	8	6175	371484	0.016623
I	AT	8	4460	371484	0.012006
X	AT	8	311	371484	0.000837
D	AT	9	4325	187643	0.023049
I	AT	9	2718	187643	0.014485
X	AT	9	163	187643	0.000869
D	AT	10	3737	117646	0.031765
I	AT	10	1891	117646	0.016074
X	AT	10	115	117646	0.000978
D	AT	11	3409	81717	0.041717
I	AT	11	1430	81717	0.017499
X	AT	11	83	81717	0.001016
D	AT	12	4431	78323	0.056573
I	AT	12	1061	78323	0.013546
X	AT	12	55	78323	0.000702
D	AT	13	2514	36079	0.069680
I	AT	13	432	36079	0.011974
X	AT	13	33	36079	0.000915
D	AT	14	1562	21018	0.074317
I	AT	14	213	21018	0.010134
X	AT	14	13	21018	0.000619
D	AT	15	1468	19468	0.075406
I	AT	15	179	19468	0.009195
X	AT	15	11	19468	0.000565
D	CG	1	202726	115830799	0.001750
I	CG	1	133312	115830799	0.001151
X	CG	1	479968	115830799	0.004144
D	CG	2	76281	61719681	0.001236
I	CG	2	116570	61719681	0.001889
X	CG	2	136431	61719681	0.002210
D	CG	3	39332	12792000	0.003075
I	CG	3	33653	12792000	0.002631
X	CG	3	36389	12792000	0.002845
D	CG	4	18296	2527276	0.007239
I	CG	4	8922	2527276	0.003530
X	CG	4	6457	2527276	0.002555
D	CG	5	4743	384635	0.012331
I	CG	5	1489	384635	0.003871
X	CG	5	694	384635	0.001804
D	CG	6	1412	76846	0.018374
I	CG	6	428	76846	0.005570
X	CG	6	177	76846	0.002303
D	CG	7	307	11585	0.026500
I	CG	7	66	11585	0.005697
X	CG	7	40	11585	0.003453
D	CG	8	131	3277	0.039976
I	CG	8	50	3277	0.015258
X	CG	8	8	3277	0.002441
D	CG	9	76	968	0.078512
I	CG	9	15	968	0.015496
X	CG	9	0	968	0.000000
D	CG	10	0	61	0.000000
I	CG	10	1	61	0.016393
X	CG	10	0	61	0.000000
D	CG	11	6	229	0.026201
I	CG	11	7	229	0.030568
X	CG	11	0	229	0.000000
D	CG	12	0	0	
I	CG	12	0	0	
X	CG	12	0	0	
D	CG	13	0	0	
I	CG	13	0	0	
X	CG	13	0	0	
D	CG	14	30	179	0.167598
I	CG	14	3	179	0.016760
X	CG	14	0	179	0.000000
D	CG	15	0	0	
I	CG	15	0	0	
X	CG	15	0	0	
