# platform=drs	error_profile_strand_20260501 (wt_by4742_rep1 DRS, R10.4.1; aligners mm2/mapPacBio/uLTRA; M-tracked)
# rate = op_count / (M+D+X) at that (base_class, hp_length); absolute, identical metric across platforms
op_type	base_class	hp_length	count	total_positions	rate
D	AT	1	9101210	1690767048	0.005383
I	AT	1	1953352	1690767048	0.001155
X	AT	1	4043850	1690767048	0.002392
D	AT	2	8259221	1470293760	0.005617
I	AT	2	5117087	1470293760	0.003480
X	AT	2	3952050	1470293760	0.002688
D	AT	3	5328497	652175122	0.008170
I	AT	3	4297203	652175122	0.006589
X	AT	3	2196358	652175122	0.003368
D	AT	4	3774789	275110057	0.013721
I	AT	4	2035706	275110057	0.007400
X	AT	4	1030649	275110057	0.003746
D	AT	5	2044677	102847611	0.019881
I	AT	5	825357	102847611	0.008025
X	AT	5	337313	102847611	0.003280
D	AT	6	1161438	39764808	0.029208
I	AT	6	388923	39764808	0.009781
X	AT	6	118629	39764808	0.002983
D	AT	7	767749	18072338	0.042482
I	AT	7	140849	18072338	0.007794
X	AT	7	45943	18072338	0.002542
D	AT	8	522488	7299916	0.071575
I	AT	8	52445	7299916	0.007184
X	AT	8	13754	7299916	0.001884
D	AT	9	234266	2844633	0.082354
I	AT	9	15512	2844633	0.005453
X	AT	9	4718	2844633	0.001659
D	AT	10	184832	1882524	0.098183
I	AT	10	7721	1882524	0.004101
X	AT	10	2723	1882524	0.001446
D	AT	11	148209	1668999	0.088801
I	AT	11	5302	1668999	0.003177
X	AT	11	1431	1668999	0.000857
D	AT	12	149358	1172877	0.127343
I	AT	12	2380	1172877	0.002029
X	AT	12	916	1172877	0.000781
D	AT	13	74375	487876	0.152447
I	AT	13	1297	487876	0.002658
X	AT	13	280	487876	0.000574
D	AT	14	41226	293467	0.140479
I	AT	14	545	293467	0.001857
X	AT	14	128	293467	0.000436
D	AT	15	53969	399136	0.135215
I	AT	15	383	399136	0.000960
X	AT	15	237	399136	0.000594
D	CG	1	10000942	1719183839	0.005817
I	CG	1	2833199	1719183839	0.001648
X	CG	1	7527911	1719183839	0.004379
D	CG	2	4059371	899566623	0.004513
I	CG	2	2073359	899566623	0.002305
X	CG	2	1625689	899566623	0.001807
D	CG	3	1168565	180073494	0.006489
I	CG	3	634786	180073494	0.003525
X	CG	3	403362	180073494	0.002240
D	CG	4	458541	36659745	0.012508
I	CG	4	163850	36659745	0.004469
X	CG	4	92093	36659745	0.002512
D	CG	5	124163	4965596	0.025005
I	CG	5	21984	4965596	0.004427
X	CG	5	15814	4965596	0.003185
D	CG	6	55373	1025967	0.053972
I	CG	6	4233	1025967	0.004126
X	CG	6	4488	1025967	0.004374
D	CG	7	9992	115286	0.086671
I	CG	7	404	115286	0.003504
X	CG	7	413	115286	0.003582
D	CG	8	7350	48078	0.152877
I	CG	8	74	48078	0.001539
X	CG	8	177	48078	0.003682
D	CG	9	4058	19579	0.207263
I	CG	9	51	19579	0.002605
X	CG	9	22	19579	0.001124
D	CG	10	125	1128	0.110816
I	CG	10	12	1128	0.010638
X	CG	10	4	1128	0.003546
D	CG	11	1032	5044	0.204600
I	CG	11	8	5044	0.001586
X	CG	11	0	5044	0.000000
D	CG	12	0	0	
I	CG	12	0	0	
X	CG	12	0	0	
D	CG	13	0	0	
I	CG	13	0	0	
X	CG	13	0	0	
D	CG	14	71	1694	0.041913
I	CG	14	55	1694	0.032468
X	CG	14	3	1694	0.001771
D	CG	15	0	0	
I	CG	15	0	0	
X	CG	15	0	0	
