# Junction overhang calibration table
# Generated by calibrate_junction_overhang.py
# n_aligners: 5  n_concordant: 4  percentile: 5
# n_concordant_observations: 59899
# intron_size_range: 51 – 798 bp
# NOTE: bins > 750 bp lack calibration data (yeast introns max ~800 bp in this chunk).
#   750 bp–5 kb: kept at 22 bp (empirically calibrated 5th-percentile from ≤750 bp bins,
#   extended flat; many exon-1's are 20–34 nt so 22 bp is the defensible floor without
#   penalising reads starting close to long-intron boundaries).
#   > 5 kb: 50 bp; quality check (hp_ed/overhang_bases < 20%) in corrected_consensus.py
#   provides the main discrimination for chimeric gapmm2/deSALT artifacts at this range.
intron_size_max	min_overhang
50	22
75	22
100	22
125	22
150	22
200	22
250	22
300	22
400	22
500	22
600	22
750	22
1000	22
1500	22
2000	22
3000	22
5000	22
inf	50
