op_type	base_class	hp_length	rate_mean	count_total	penalty_score	low_count
D	AT	1	0.0054	8160882.0000	0.4377	False
D	AT	2	0.0056	7385418.0000	0.4222	False
D	AT	3	0.0082	4801347.0000	0.2884	False
D	AT	4	0.0137	3401280.0000	0.1725	False
D	AT	5	0.0200	1852885.0000	0.1183	False
D	AT	6	0.0294	1061268.0000	0.0803	False
D	AT	7	0.0424	700196.0000	0.0557	False
D	AT	8	0.0730	483698.0000	0.0323	False
D	AT	9	0.0829	215669.0000	0.0285	False
D	AT	10	0.0940	170047.0000	0.0251	False
D	AT	11	0.0940	139925.0000	0.0251	False
D	AT	12	0.1270	136645.0000	0.0186	False
D	AT	13	0.1441	68184.0000	0.0164	False
D	AT	14	0.1441	37738.0000	0.0164	False
D	AT	15	0.1441	49241.0000	0.0164	False
D	AT	16	0.1596	27726.0000	0.0148	False
D	AT	17	0.1596	7292.0000	0.0148	False
D	AT	18	0.1596	3780.0000	0.0148	False
D	AT	19	0.2701	11623.0000	0.0087	False
D	AT	20	0.2701	6299.0000	0.0087	False
D	CG	1	0.0052	8967862.0000	0.8463	False
D	CG	2	0.0052	3633545.0000	0.8463	False
D	CG	3	0.0065	1031934.0000	0.6745	False
D	CG	4	0.0125	396730.0000	0.3502	False
D	CG	5	0.0256	110194.0000	0.1713	False
D	CG	6	0.0562	42423.0000	0.0779	False
D	CG	7	0.0868	9089.0000	0.0505	False
D	CG	8	0.1336	6675.0000	0.0328	False
D	CG	9	0.1336	3689.0000	0.0328	False
D	CG	10	0.1336	108.0000	0.0328	False
D	CG	11	0.1336	941.0000	0.0328	False
D	CG	14	0.1336	71.0000	0.0328	False
D	CG	16	0.1336	8.0000	0.0328	True
D	CG	19	0.2038	43.0000	0.0215	True
I	AT	1	0.0012	1738667.0000	1.2500	False
I	AT	2	0.0035	4576724.0000	0.4138	False
I	AT	3	0.0066	3861857.0000	0.2184	False
I	AT	4	0.0074	1836431.0000	0.1943	False
I	AT	5	0.0081	747457.0000	0.1785	False
I	AT	6	0.0098	354206.0000	0.1467	False
I	AT	7	0.0078	128288.0000	0.1843	False
I	AT	8	0.0073	48609.0000	0.1972	False
I	AT	9	0.0055	14144.0000	0.2638	False
I	AT	10	0.0044	7052.0000	0.3239	False
I	AT	11	0.0041	4820.0000	0.3472	False
I	AT	12	0.0021	2165.0000	0.6882	False
I	AT	13	0.0027	1187.0000	0.5348	False
I	AT	14	0.0020	501.0000	0.7321	False
I	AT	15	0.0012	341.0000	1.2473	False
I	AT	16	0.0006	93.0000	2.3086	False
I	AT	17	0.0005	19.0000	2.7069	True
I	AT	18	0.0003	8.0000	4.6770	True
I	AT	19	0.0012	28.0000	1.2020	True
I	AT	20	0.0001	4.0000	10.0000	True
I	CG	1	0.0017	2535940.0000	1.2500	False
I	CG	2	0.0023	1843741.0000	0.9022	False
I	CG	3	0.0035	560176.0000	0.5884	False
