op_type	base_class	hp_length	rate_mean	count_total	penalty_score	low_count
D	AT	1	0.0012	140229.0000	1.5183	False
D	AT	2	0.0018	177929.0000	1.0128	False
D	AT	3	0.0024	101837.0000	0.7921	False
D	AT	4	0.0034	61847.0000	0.5436	False
D	AT	5	0.0053	33735.0000	0.3534	False
D	AT	6	0.0068	17673.0000	0.2750	False
D	AT	7	0.0094	10490.0000	0.1992	False
D	AT	8	0.0166	6175.0000	0.1124	False
D	AT	9	0.0231	4325.0000	0.0811	False
D	AT	10	0.0319	3737.0000	0.0587	False
D	AT	11	0.0418	3409.0000	0.0448	False
D	AT	12	0.0566	4431.0000	0.0330	False
D	AT	13	0.0699	2514.0000	0.0268	False
D	AT	14	0.0750	1562.0000	0.0249	False
D	AT	15	0.0776	1468.0000	0.0241	False
D	AT	16	0.1083	1218.0000	0.0173	False
D	AT	17	0.1083	451.0000	0.0173	False
D	AT	18	0.1083	301.0000	0.0173	False
D	AT	19	0.1143	410.0000	0.0164	False
D	AT	20	0.1434	517.0000	0.0130	False
D	CG	1	0.0015	202726.0000	2.7741	False
D	CG	2	0.0015	76281.0000	2.7741	False
D	CG	3	0.0031	39332.0000	1.3475	False
D	CG	4	0.0072	18296.0000	0.5724	False
D	CG	5	0.0125	4743.0000	0.3326	False
D	CG	6	0.0184	1412.0000	0.2255	False
D	CG	7	0.0269	307.0000	0.1542	False
D	CG	8	0.0429	131.0000	0.0967	False
D	CG	9	0.0549	76.0000	0.0755	False
D	CG	11	0.0549	6.0000	0.0755	True
D	CG	14	0.1101	30.0000	0.0376	True
D	CG	19	0.1101	3.0000	0.0376	True
I	AT	1	0.0010	108261.0000	1.2500	False
I	AT	2	0.0022	209625.0000	0.5603	False
I	AT	3	0.0030	127546.0000	0.4121	False
I	AT	4	0.0034	61604.0000	0.3566	False
I	AT	5	0.0045	28807.0000	0.2709	False
I	AT	6	0.0068	17604.0000	0.1808	False
I	AT	7	0.0073	8150.0000	0.1678	False
I	AT	8	0.0120	4460.0000	0.1018	False
I	AT	9	0.0145	2718.0000	0.0845	False
I	AT	10	0.0162	1891.0000	0.0757	False
I	AT	11	0.0175	1430.0000	0.0699	False
I	AT	12	0.0135	1061.0000	0.0903	False
I	AT	13	0.0121	432.0000	0.1009	False
I	AT	14	0.0102	213.0000	0.1198	False
I	AT	15	0.0092	179.0000	0.1330	False
I	AT	16	0.0072	76.0000	0.1710	False
I	AT	17	0.0074	33.0000	0.1659	True
I	AT	18	0.0053	15.0000	0.2292	True
I	AT	19	0.0049	15.0000	0.2509	True
I	AT	20	0.0023	7.0000	0.5344	True
I	CG	1	0.0012	133312.0000	1.2500	False
I	CG	2	0.0019	116570.0000	0.7485	False
I	CG	3	0.0026	33653.0000	0.5449	False
I	CG	4	0.0036	8922.0000	0.4048	False
