gene	chrom	strand	cds_start0	cds_end	cds_span	cds_len	tx_len
YAL068C	chrI	-	1806	2169	363	363	613.0
YAL067W-A	chrI	+	2479	2707	228	228	478.0
YAL067C	chrI	-	7234	9016	1782	1782	2032.0
YAL065C	chrI	-	11564	11951	387	387	637.0
YAL064W-B	chrI	+	12045	12426	381	381	631.0
YAL064C-A	chrI	-	13362	13743	381	381	631.0
YAL064W	chrI	+	21565	21850	285	285	535.0
YAL063C-A	chrI	-	22394	22685	291	291	541.0
YAL063C	chrI	-	23999	27968	3969	3969	4219.0
YAL062W	chrI	+	31566	32940	1374	1374	1441.0
YAL061W	chrI	+	33447	34701	1254	1254	1559.0
YAL060W	chrI	+	35154	36303	1149	1149	1364.0
YAL059W	chrI	+	36508	37147	639	639	820.0
YAL058W	chrI	+	37463	38972	1509	1509	1784.0
YAL056W	chrI	+	39258	41901	2643	2643	2836.0
YAL055W	chrI	+	42176	42719	543	543	621.0
YAL054C	chrI	-	42880	45022	2142	2142	2306.0
YAL053W	chrI	+	45898	48250	2352	2352	2555.0
YAL051W	chrI	+	48563	51707	3144	3144	3307.0
YAL049C	chrI	-	51854	52595	741	741	916.0
YAL048C	chrI	-	52800	54789	1989	1989	2239.0
YAL047C	chrI	-	54988	56857	1869	1869	1953.0
YAL046C	chrI	-	57028	57385	357	357	481.0
YAL044W-A	chrI	+	57517	57850	333	333	484.0
YAL044C	chrI	-	57949	58462	513	513	604.0
YAL043C	chrI	-	58694	61052	2358	2358	2470.0
YAL042W	chrI	+	61315	62563	1248	1248	1381.0
YAL041W	chrI	+	62839	65404	2565	2565	2722.0
YAL040C	chrI	-	65777	67520	1743	1743	2459.0
YAL039C	chrI	-	68715	69525	810	810	950.0
YAL038W	chrI	+	71785	73288	1503	1503	1694.0
YAL037C-A	chrI	-	73425	73518	93	93	343.0
YAL037W	chrI	+	74019	74823	804	804	1054.0
YAL036C	chrI	-	75042	76152	1110	1110	1369.0
YAL035W	chrI	+	76426	79435	3009	3009	3155.0
YAL034W-A	chrI	+	79717	80587	870	870	981.0
YAL034C	chrI	-	80709	81951	1242	1242	2008.0
YAL033W	chrI	+	82705	83227	522	522	636.0
YAL032C	chrI	-	83334	84474	1140	1140	1298.0
YAL031C	chrI	-	84748	87031	2283	2283	2471.0
YAL030W	chrI	+	87285	87752	467	354	514.0
YAL029C	chrI	-	87854	92270	4416	4416	4856.0
YAL028W	chrI	+	92899	94486	1587	1587	1687.0
YAL027W	chrI	+	94686	95472	786	786	972.0
YAL026C	chrI	-	95629	99697	4068	4068	4309.0
