gene	name	cds_len	tx_len	sd_sets	strict
YOR182C	RPS30B	192	314	0.498692	False
YJL189W	RPL39	156	319	0.454328	False
YOR167C	RPS28A	204	347	0.395129	False
YLR185W	RPL37A	267	385	0.421957	False
YHR072W-A	NOP10	177	392	0.390696	False
YML081C-A	ATP18	180	401	0.483561	False
YDL075W	RPL31A	342	437	0.450925	False
YOR045W	TOM6	186	442	0.465453	False
YOL077W-A	ATP19	207	454	0.422362	False
YEL020W-A	TIM9	264	456	0.408124	False
YOR020C	HSP10	321	460	0.463663	False
YPL249C-A	RPL36B	303	464	0.422899	False
YGL220W	BOL2	363	472	0.429758	False
YLR438C-A	LSM3	270	472	0.414543	False
YGL030W	RPL30	318	475	0.400569	False
YHR039C-A	VMA10	345	475	0.44022	False
YLR061W	RPL22A	366	478	0.416588	False
YDL191W	RPL35A	363	479	0.382374	False
YKL156W	RPS27A	249	488	0.410434	False
YBR058C-A	TSC3	243	493	0.367311	False
YDL081C	RPP1A	321	495	0.497981	False
YLR325C	RPL38	237	499	0.485434	False
YOR293W	RPS10A	318	499	0.440091	False
YIL148W	RPL40A	387	502	0.327618	True
YBR089C-A	NHP6B	300	502	0.319605	True
YIL052C	RPL34B	366	506	0.43093	False
YPL143W	RPL33A	324	511	0.483055	False
YBR009C	HHF1	312	512	0.47998	False
YCL035C	GRX1	333	513	0.399991	False
YDR086C	SSS1	243	524	0.489739	False
YPR020W	ATP20	348	525	0.307698	True
YNL030W	HHF2	312	527	0.337868	True
YGR037C	ACB1	264	530	0.30029	True
YOL127W	RPL25	429	533	0.4899	False
YKL006W	RPL14A	417	534	0.442053	False
YDR322C-A	TIM11	291	538	0.443866	False
YOR210W	RPB10	213	543	0.40327	False
YOL039W	RPP2A	321	543	0.39799	False
YML024W	RPS17A	411	550	0.335453	True
YGL103W	RPL28	450	552	0.331715	True
YPR043W	RPL43A	279	553	0.388642	False
YJL166W	QCR8	285	562	0.431646	False
YLR167W	RPS31	459	564	0.389163	False
YHR143W-A	RPC10	213	577	0.40131	False
YJR104C	SOD1	465	579	0.386788	False
YHR010W	RPL27A	411	581	0.316954	True
YDR524C-B		201	583	0.18752	True
YEL026W	SNU13	381	585	0.283787	True
YDR450W	RPS18A	441	585	0.426967	False
YER117W	RPL23B	414	589	0.490602	False
YOL040C	RPS15	429	589	0.355467	False
YKR094C	RPL40B	387	589	0.423253	False
YBL087C	RPL23A	414	597	0.469994	False
YLR395C	COX8	237	599	0.39026	False
YBR010W	HHT1	411	600	0.406462	False
YER072W	VTC1	390	606	0.29595	True
YCR043C		384	609	0.49918	False
YGL189C	RPS26A	360	610	0.36474	False
YER009W	NTF2	378	615	0.36727	False
YHR193C	EGD2	525	621	0.192986	True
YGR181W	TIM13	318	624	0.263929	True
YDL067C	COX9	180	624	0.466158	False
YBL003C	HTA2	399	626	0.394038	False
YPL225W	CHP1	441	627	0.405052	False
YOR312C	RPL20B	519	627	0.275333	True
YML073C	RPL6A	531	627	0.354283	False
YDR225W	HTA1	399	630	0.367868	False
YOR327C	SNC2	348	632	0.351239	False
YNL302C	RPS19B	435	637	0.359505	False
YEL017C-A	PMP2	132	638	0.474324	False
YPR102C	RPL11A	525	640	0.399018	False
YDL208W	NHP2	471	643	0.395212	False
YMR242C	RPL20A	519	647	0.4706	False
YMR260C	TIF11	462	647	0.387899	False
YBR191W	RPL21A	483	648	0.49042	False
YLR038C	COX12	252	650	0.305223	True
YBR173C	UMP1	447	650	0.491915	False
YDR224C	HTB1	396	653	0.418252	False
YDR155C	CPR1	489	659	0.430451	False
YCR028C-A	RIM1	408	678	0.382199	False
YHR162W	MPC2	390	684	0.340002	True
YKL180W	RPL17A	555	700	0.345078	True
YNL031C	HHT2	411	703	0.324789	True
YMR142C	RPL13B	600	713	0.469658	False
YNL157W	IGO1	507	715	0.382451	False
YBR109C	CMD1	444	715	0.396207	False
YMR072W	ABF2	552	716	0.409745	False
YNL113W	RPC19	429	721	0.404431	False
YOR096W	RPS7A	573	722	0.327738	True
YML028W	TSA1	591	726	0.346781	True
YDR454C	GUK1	564	731	0.457629	False
YGL191W	COX13	390	737	0.258119	True
YEL034W	HYP2	474	745	0.47585	False
YKL013C	ARC19	516	746	0.382566	False
YGR082W	TOM20	552	747	0.490059	False
YLR421C	RPN13	471	748	0.435164	False
YJL177W	RPL17B	555	752	0.417859	False
YBR082C	UBC4	447	752	0.365429	False
YDR339C	FCF1	570	758	0.340292	True
YNL208W		600	764	0.401185	False
YLR370C	ARC18	537	764	0.401922	False
YNL069C	RPL16B	597	768	0.206945	True
YDL235C	YPD1	504	770	0.429436	False
YKL056C	TMA19	504	779	0.4947	False
YNL052W	COX5A	462	779	0.336072	True
YGL200C	EMP24	612	780	0.489574	False
YDR304C	CPR5	678	781	0.272446	True
YBR171W	SEC66	621	784	0.345229	True
YDR045C	RPC11	333	785	0.397094	False
YEL027W	VMA3	483	799	0.193599	True
YOR332W	VMA4	702	803	0.492625	False
YKL016C	ATP7	525	804	0.305276	True
YLR075W	RPL10	666	805	0.196774	True
YDR071C	PAA1	576	806	0.487852	False
YJL143W	TIM17	477	807	0.389767	False
YGL135W	RPL1B	654	811	0.478813	False
YNL079C	TPM1	600	818	0.484914	False
YPL178W	CBC2	627	822	0.379435	False
YKL065C	YET1	621	826	0.335088	True
YFL010C	WWM1	636	827	0.361084	False
YMR202W	ERG2	669	833	0.24625	True
YJR123W	RPS5	678	834	0.433754	False
YDL212W	SHR3	633	836	0.428678	False
YDL004W	ATP16	483	838	0.349882	True
YER002W	NOP16	696	839	0.413094	False
YDR002W	YRB1	606	841	0.358448	False
YPL010W	RET3	570	844	0.467177	False
YBR256C	RIB5	717	848	0.39256	False
YJL192C	SOP4	705	851	0.228814	True
YKL196C	YKT6	603	852	0.435558	False
YDR050C	TPI1	747	854	0.382903	False
YOR052C	TMC1	453	854	0.371086	False
YDR226W	ADK1	669	856	0.176206	True
YGR027C	RPS25A	327	858	0.406088	False
YLR244C	MAP1	1164	861	0.390685	False
YKL024C	URA6	615	865	0.42728	False
YBR154C	RPB5	648	867	0.409528	False
YDR328C	SKP1	585	874	0.348165	True
YIL018W	RPL2B	765	876	0.238329	True
YKL033W-A		711	881	0.262411	True
YDL046W	NPC2	522	887	0.492243	False
YMR295C	GSR1	594	891	0.426565	False
YMR226C	ORA1	804	897	0.313251	True
YJL140W	RPB4	666	898	0.406404	False
YJR145C	RPS4A	786	902	0.409444	False
YGL037C	PNC1	651	903	0.390482	False
YBL092W	RPL32	393	905	0.308906	True
YKL009W	MRT4	711	906	0.418678	False
YLL045C	RPL8B	771	907	0.496697	False
YKL152C	GPM1	744	907	0.370311	False
YPL090C	RPS6A	711	908	0.249468	True
YLR009W	RLP24	600	909	0.431055	False
YGR214W	RPS0A	759	914	0.44102	False
YJL001W	PRE3	648	915	0.483688	False
